Project_ID,Project_Title,Total_Cost_KES,Funding_Type,Funding_Source,Start_Date_Planned,Start_Date_Actual,Duration_Months,Vision_2030_Flagship,MTEF_Sector,Implementing_Agency,Implementation_Status
2012/054042,Drilling Services And Material For Eighty (80) Geothermal Wells At Olkaria Geothermal Field Project,4063743502.0,unspecified,025 - government of china,2012-07-02,2012-07-02,23.0,unspecified,"energy, infrastructure and ict",1151 - ministry of energy & petroleum; 115 - moe&p - geothermal development company,Ongoing
2013/054124,MENENGAI GEOTHERMAL DEVELOPMENT PROJECT - SREP LOAN,637500000.0,loan ; grant; gok; unspecified,510 - african development bank/ fund; government of kenya,2012-07-02,2012-07-02,65.0,unspecified,"energy, infrastructure and ict",1151 - ministry of energy & petroleum,Ongoing
2013/054155,Nakuru Main Construction Staff Houses,3600000.0,unspecified,government of kenya,2011-04-03,2011-04-20,20.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054161,"Nakuru Women ,Staff &Nbsp;Houses",1800000.0,unspecified,government of kenya,2011-11-23,2011-12-07,6.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054164,Nakuru Women Construction Of Ration Store,2000000.0,unspecified,government of kenya,2011-08-02,2011-08-23,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054166,Naivasha Main Construction &Nbsp;Ofdining Hall,3600000.0,unspecified,government of kenya,2011-06-23,2011-07-07,30.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054333,Naivasha Medium Horse Staples,1312946.0,unspecified,government of kenya,2012-11-01,2013-01-01,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054381,Naivasha Medium Prison Perimeter Wall,2000000.0,unspecified,government of kenya,2012-07-03,2012-08-01,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054560,Construction Of District Civil Registration Office At Bahati,7000000.0,unspecified,government of kenya,2012-09-01,2012-09-01,15.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2013/054567,Construction Of &Nbsp;Deputy County Commissioner'S Office,42000000.0,unspecified,government of kenya,2013-04-01,2013-04-01,14.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2013/054597,Rongai District Headquarters,30000000.0,gok; unspecified,government of kenya,2011-07-01,2011-07-01,27.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2013/054606,Subukia Youth Polytechnic Boys Hostel,7500000.0,unspecified,government of kenya,2012-06-01,2012-08-01,19.0,unspecified,education,106 - ministry of education,Stalled
2014/055045,NAKURU MAIN PRISON CONSTRUCTION OF INMATES WARD,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2014/055160,PROPOSED COMPLETION OF BLOCK M2 HOSTEL AT EGERTON UNIVERSITY NJORO CAMPUS,58305672.0,gok; unspecified,government of kenya,2013-07-29,2013-07-29,11.0,ministry of education,education,106 - moes&t - egerton university (eu),Ongoing
2014/055161,PARTIAL COMPLETION OF PHYSICAL SCIENCE COMPLEX -PHYSICS BLOCK CONTRACT 1A- EGERTON UNIVERSITY NJORO CAMPUS,84212275.0,unspecified,government of kenya,2014-01-24,2014-01-24,10.0,unspecified,education,106 - moes&t - egerton university (eu),Ongoing
2014/055162,PROPOSED COMPLETION OF BLOCK M3 AND M4 STUDENT HOSTELS AT EGERTON UNIVERSITY NJORO CAMPUS,97089756.0,gok; unspecified,government of kenya,2013-07-29,2013-07-29,11.0,ministry of education,education,106 - ministry of education; 106 - moes&t - egerton university (eu),Ongoing
2014/055164,PROPOSED COMPLETION OF BLOCK F1 & F2 STUDENT HOSTELS AT EGERTON UNIVERSITY NJORO CAMPUS,97418872.0,gok; unspecified,government of kenya,2013-07-29,2013-07-29,11.0,ministry of education,education,106 - moes&t - egerton university (eu),Ongoing
2014/055165,PROPOSED COMPLETION OF BLOCK F3 AND F4 STUDENT HOSTELS AT EGERTON UNIVERSITY NJORO CAMPUS,74195982.0,gok; unspecified,government of kenya,2013-07-29,2013-07-29,11.0,ministry of education,education,106 - moes&t - egerton university (eu),Ongoing
2014/055166,PARTIAL COMPLETION OF PHYSICAL SCIENCE COMPLEX- PHYSICS BLOCK1B,110331405.0,unspecified,government of kenya,2014-01-24,2014-01-24,10.0,unspecified,education,106 - moes&t - egerton university (eu),Ongoing
2014/055168,COMPLETION OF NEW DINING AND KITCHEN AT EGERTON UNIVERSITY NJORO CAMPUS,68984211.0,unspecified,government of kenya,2013-07-29,2013-07-29,11.0,unspecified,education,106 - moes&t - egerton university (eu),Ongoing
2014/055171,CONSTRUCTION OF HUMAN ANATOMY COMPLEX AT EGERTON UNIVERSITY- NJORO CAMPUS,125776199.0,unspecified,government of kenya,2011-03-04,2011-03-04,5.0,unspecified,education,106 - moes&t - egerton university (eu),Completed
2015/055547,Nakuru North Sub-County Headquarters,40486880.0,gok; unspecified,government of kenya,2013-04-24,2013-05-10,37.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055598,Nakuru Law Courts - Refurbishment,20000000.0,unspecified,government of kenya,2014-07-01,2014-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055674,Naivasha Law Courts - Refurbishment,42862488.0,unspecified,government of kenya,2015-08-31,2015-08-31,33.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
2012/053699,Transmara West District - Olorukoti Secondary School Laboratory Project,2.0,unspecified,government of kenya,2012-01-03,2012-01-03,5.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources,Planned
2012/053712,Transmara East District - Ndamama Secondary School - Ict Infrastructure Project,877500.0,unspecified,government of kenya,2011-12-26,2011-12-26,3.0,unspecified,education,106 - ministry of education,Ongoing
2012/053713,Transmara East District - Emurua Dikirr Secondary School - Ict Esp Infrastructure Project,877500.0,unspecified,government of kenya,2011-12-26,2011-12-26,3.0,unspecified,education,106 - ministry of education,Ongoing
2013/054380,Narok Prison Dining Hall,3600000.0,unspecified,government of kenya,2012-06-30,2012-12-06,12.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054569,Transmara West - Kilgoris Prison,8565000.0,unspecified,government of kenya,2011-07-01,2011-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054570,Transmara West - Olalui  Nyasita Road,1000000.0,unspecified,unknown,2011-07-05,2011-07-05,11.0,unspecified,"energy, infrastructure and ict",unknown,Completed
2013/054571,Transmara West - Mosiro Road Project,500000.0,unspecified,unknown,2011-07-05,2011-07-05,11.0,unspecified,"energy, infrastructure and ict",unknown,Completed
2013/054623,Transmara East  Ventilated Improved Latrines Project,2400000.0,unspecified,unknown,2011-07-12,2011-07-12,11.0,unspecified,"environmental protection, water and natural resources",unknown,Completed
2014/054644,"Proposed Construction And Renovation Of Narok Stadium For Narok Town Council, Narok County",313676679.0,unspecified,government of kenya,2013-05-29,2013-05-29,25.0,unspecified,unspecified,1111 - ministry of land housing and urban development,Ongoing
2014/055009,CONSTRUCTION OF ODPP COUNTY OFFICE IN NAROK,12000000.0,unspecified,government of kenya,2014-09-30,2014-09-30,9.0,unspecified,"governance, justice, law and order (gjlos)",unknown,Planned
2014/055059,NAROK PRISON CONSTRUCTION OF PRISONERS WARDS,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2015/055611,Narok Law Courts - Construction,194179872.0,unspecified,government of kenya,2014-07-01,2014-07-01,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055624,REFURBISHMENT OF KILGORIS LAW COURTS,33266431.0,unspecified,government of kenya,2014-08-04,2014-08-04,46.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2012/053878,Adams Arcade- Ngong/ Karen- Bomas,44799788595.0,unspecified,025 - government of china,2013-07-01,2013-07-01,35.0,unspecified,"energy, infrastructure and ict",136 - mor - kenya urban roads authority (kura),Planned
2013/054108,Food And Beverage Phase 1,28976993.0,unspecified,government of kenya,2011-03-17,2011-03-23,12.0,ministry of education,education,unknown,Stalled
2013/054392,Kajiando Prison Prisoners Ward (Mixed Block),6000000.0,unspecified,government of kenya,2011-07-12,2011-07-20,20.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054394,Kajiando Prison Rri Staff Housing,1800000.0,unspecified,government of kenya,2011-07-12,2011-07-20,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054395,"Kajiando Prison ,R Enovation Of Administration Block And Kitchen",2400000.0,unspecified,government of kenya,2012-06-10,2012-07-18,9.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2014/055055,KAJIADO PRISON CONSTRUCTION OF INMATES WARD/KITCHEN,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2014/055118,LOITOKTOK SUB COUNTY HEADQAURTERS,14000000.0,unspecified,government of kenya,2013-08-21,2013-10-09,32.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2014/055119,KAJIADO NORTH SUB COUNTY HEADQUARTERS,8500000.0,unspecified,government of kenya,2012-08-06,2012-12-04,42.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055557,Isinya Sub County headquarters,45106000.0,unspecified,government of kenya,2013-10-17,2013-10-17,32.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051903,Proposed Erection To Completion Of 800no. Students Hostel &Nbsp;Phase 1,145500000.0,gok; unspecified,106 - moes&t - kabianga university college,2010-04-14,2010-05-01,15.0,unspecified,unspecified,106 - moes&t - kabianga university college,Completed
2010/051910,Construction Of Gate,1000000.0,gok,government of kenya,2009-07-01,2009-07-01,11.0,unspecified,unspecified,106 - moes&t - jomo kenyatta university of agriculture & technology (jkuat),Ongoing
2012/053969,Development Of Water And Sanitation Sector - L.Victoria South (2010 65 861),3630000000.0,loan ; gok; unspecified,014 - government of germany (kfw-germany),2012-07-01,2012-07-01,71.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources; 1101 - state department for environment and natural resources; 1102 - state department for water and regional authorities.,Ongoing
2013/054159,Kericho Main Prison Construction Of Staff House,1800000.0,unspecified,government of kenya,2011-08-07,2011-08-05,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054163,Kericho Women Construction Of Staff Houses,1800000.0,gok,government of kenya,2012-03-01,2012-04-03,3.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054226,Lake Victoria Water Supply And Sanitation Program Phase II,1430000000.0,loan ; grant; gok; unspecified,510 - african development bank/ fund,2011-01-03,2011-01-03,59.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources; 1101 - state department for environment and natural resources; 1102 - state department for water and regional authorities.,Ongoing
2013/054314,Kericho Medium Prison Junior Staff Housing,1800000.0,unspecified,government of kenya,2011-09-01,2011-09-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054318,Kericho Medium Visitors Bay & Gate Lounge,1700000.0,unspecified,government of kenya,2012-10-18,2012-12-01,4.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054414,Kmtc Kapkatet,8600000.0,unspecified,constituency development fund (cdf),2010-09-09,2010-10-14,39.0,unspecified,unspecified,1081 - ministry of health,Ongoing
2013/054426,Timbilii Wate Project,4580000.0,unspecified,government of kenya,2012-10-24,2011-11-17,6.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources,Completed
2014/055039,KERICHO MEDIUM CONSTRUCTION OF INMATES WARD,2000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2014/055120,KIPKELION SUB COUNTY HEADQUARTERS,18500000.0,unspecified,government of kenya,2012-08-14,2012-09-04,33.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055655,CONSTRUCTION OF HIGH COURT KERICHO,65633674.0,unspecified,government of kenya,2015-07-01,2015-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
2013/054168,Boment Prison Costruction Of Of Prisoners Ward,3400000.0,unspecified,government of kenya,2011-03-02,2011-04-13,21.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054316,Bomet Prison Staff Housing,6400000.0,unspecified,government of kenya,2012-01-01,2012-01-25,3.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054317,"Bomet Prison, Mixed Block Ward",3750000.0,unspecified,government of kenya,2011-06-01,2011-08-01,18.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054327,"Sotik Prison , Construction Of Prisoners Ward",4281140.0,unspecified,government of kenya,2010-08-10,2010-08-31,21.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054421,Kamureito Water Project.,35000000.0,unspecified,constituency development fund (cdf),2010-09-15,2010-09-15,25.0,unspecified,unspecified,110 - ministry of environment water and natural resources,Ongoing
2013/054440,Koiwa Jua Kali Sheds,2500000.0,unspecified,government of kenya,2010-05-22,2010-05-22,9.0,unspecified,general economic and commercial affairs,1171 - ministry of industrialization and enterprise development,Ongoing
2013/054441,Lorna Laboso Memorial Girls Secondary.,37000000.0,unspecified,government of kenya,2010-01-13,2010-01-13,29.0,ministry of education,education,106 - ministry of education,Ongoing
2013/054450,Sotik Community Library.,15000000.0,unspecified,constituency development fund (cdf),2012-06-14,2012-06-14,12.0,unspecified,unspecified,constituency development fund (cdf),Ongoing
2013/054451,Economic Stimulus Project - Kimulot High School,30000000.0,unspecified,government of kenya,2010-07-01,2010-07-01,10.0,unspecified,education,106 - ministry of education,Completed
2013/054462,Eldama Ravine &Nbsp;Executive Washrooms(Toilets),403480.0,unspecified,government of kenya,2013-02-02,2013-04-29,4.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054585,Sotik-Gorgor Road.,2000000000.0,unspecified,025 - government of china,2011-06-02,2011-10-06,26.0,unspecified,"energy, infrastructure and ict",109 - ministry of transport and infrastructure,Ongoing
2013/054609,Sotik Youth Empowerment Centre.,6000000.0,gok; unspecified,government of kenya,2010-10-26,2011-04-20,19.0,unspecified,unspecified,103 - ministry of devolution and planning,Completed
2014/055050,BOMET PRISON CONSTRUCTION OF KITCHEN/ WARD,2000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2015/055567,Bomet County Headquarters,90950000.0,unspecified,government of kenya,2015-07-13,2015-07-13,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2015/055600,CONSTRUCTION OF BOMET COURT,250000000.0,unspecified,government of kenya,2014-09-01,2015-05-01,21.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2012/053564,Proposed Masinde Muliro University Lugari Branch,7550000.0,unspecified,government of kenya,2009-06-20,2009-06-20,48.0,ministry of education,unspecified,unspecified,Ongoing
2013/054282,Water Sector Development Programme - Lake Victoria North,1200000000.0,loan ; gok; unspecified,014 - government of germany (kfw-germany),2009-08-01,2009-08-01,70.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources; 1101 - state department for environment and natural resources; 1102 - state department for water and regional authorities.,Ongoing
2014/055038,KKAMEGA MAIN PRISON CONSTRUCTION OF INMATES WARD,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2014/055085,KAKAMEGA WOMEN CONSTRUCTION OF PRISONER WORKSHOP,1000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2014/055417,CONSTRUCTION OF LIBRARY AND FENCE AT SHIKUSA BI,5450000.0,unspecified,government of kenya,2014-07-01,2014-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055589,Kakamega Law Courts,66823613.0,unspecified,government of kenya,2014-07-01,2014-07-01,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055649,REFURBISHMENT OF MAGISTRATES COURT MUMIAS,11034588.0,unspecified,government of kenya,2014-07-14,2014-07-14,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055658,Butere Law Courts,42842299.0,unspecified,government of kenya,2015-07-01,2015-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
2012/053902,Gambogi- Serem Road,48000000.0,grant; unspecified,025 - government of china,2010-06-07,2010-06-07,60.0,unspecified,"energy, infrastructure and ict",109 - ministry of transport and infrastructure,Ongoing
2013/054477,Vihiga Prison Main Gate And Gate Lodge,3432949.0,unspecified,government of kenya,2012-12-03,2012-12-03,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2014/055024,PROPOSED REFURBISHMENT OF ODPP OFFICES IN VIHIGA COUNTY,2657244.0,unspecified,government of kenya,2014-09-01,2014-09-01,2.0,unspecified,"governance, justice, law and order (gjlos)",unknown,Planned
2014/055083,VIHIGA PRISON CONSTRUCTION OF PRISONS GATE LODGE/WARDS,2000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2014/055139,Digital mapping and preparation of ISUDP for Vihiga County,95411160.0,unspecified,government of kenya,2012-04-23,2012-04-23,26.0,unspecified,"agriculture, rural and urban development (arud)",1111 - ministry of land housing and urban development,Ongoing
2015/055513,Ebusiralo Youth Polytechnic,15500000.0,grant; unspecified,011 - government of italy,2015-07-01,2015-07-01,11.0,unspecified,education,1062 - state department for science and technology,Pipelined
2015/055515,Tools and equipment for Ebusiralo and Mfangano Youth Polytechnics,5000000.0,grant; unspecified,011 - government of italy,2015-07-01,2015-07-01,11.0,unspecified,education,1062 - state department for science and technology,Pipelined
2015/055516,"Training, capacity building and sensitization of stakeholders",4000000.0,grant,011 - government of italy,2015-07-01,2015-07-01,11.0,unspecified,education,1062 - state department for science and technology,Pipelined
2015/055521,Ileho Hospital,20000000.0,unspecified,011 - government of italy,2015-07-01,2015-07-01,11.0,unspecified,health,1081 - ministry of health,Pipelined
2015/055599,CONSTRUCTION OF MAGISTRATES COURT HAMISI,72512692.0,unspecified,government of kenya,2014-07-01,2014-07-01,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2011/052915,Abasweni Wind Power Project,8000000001.0,gok; unspecified,government of kenya,2011-07-01,2011-07-01,71.0,unspecified,unspecified,110 - ministry of environment water and natural resources; 128 - mrda - ewaso ngiro north dev. authority (ennda),Planned
2012/053909,Mupeli Primary School,69263353.0,grant; unspecified,021 - government of japan,2012-07-02,2012-07-02,35.0,unspecified,education,106 - ministry of education,Ongoing
2012/053921,Construction Of Bungoma Border Control,27000000.0,unspecified,government of kenya,2012-07-01,2012-10-11,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2012/053922,Construction Of Lwakhakha Border Control,28308825.0,unspecified,government of kenya,2012-07-01,2012-10-16,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2012/054050,Nakoyonjo Water Supply,60000000.0,grant; unspecified,011 - government of italy,2009-07-01,2009-07-01,47.0,unspecified,"environmental protection, water and natural resources",110 - ministry of environment water and natural resources,Ongoing
2013/054122,Proposed Completion Of Kibabii Diploma T.T.C,1949921614.0,unspecified,government of kenya,2008-05-26,2008-05-26,36.0,unspecified,unspecified,106 - ministry of education; 1111 - ministry of land housing and urban development,Ongoing
2013/054306,Reinforcement Of Training Rooms At Bungoma Prisons,440000.0,unspecified,government of kenya,2013-02-21,2013-02-21,0.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2013/054472,Bungoma Main Prison &Nbsp;Multipurpose /Dining Hall,3000000.0,unspecified,government of kenya,2012-04-07,2012-04-09,2.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054474,Bungoma Main Prison Inmates Ward,6175230.0,unspecified,government of kenya,2007-11-01,2007-11-09,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054476,Bungoma Main Prison Staff Houses,1800000.0,unspecified,government of kenya,2010-11-01,2010-11-21,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2014/054647,"Proposed Construction Of A Social Hall At Sirisia Town Council,Bungoma County",74911899.0,gok; unspecified,government of kenya,2012-11-01,2012-11-01,17.0,unspecified,unspecified,1111 - ministry of land housing and urban development,Suspended
2014/055064,BUNGOMA PRISON CONSTRUCTION OF PRISONERS WARDS,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2015/055551,Cheptais Sub County Headquarters,30000000.0,unspecified,government of kenya,2012-06-18,2012-06-18,47.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055565,Kimilili Sub County headquarters-External Civil works,4448595.0,unspecified,government of kenya,2015-07-13,2015-07-13,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2015/055584,Bungoma Law Courts,28104849.0,unspecified,government of kenya,2014-04-24,2014-04-24,15.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055641,Construction of Bungoma bus park,146735492.0,unspecified,government of kenya,2012-10-01,2012-10-01,22.0,unspecified,"agriculture, rural and urban development (arud)",1111 - ministry of land housing and urban development,Ongoing
2015/055645,Webuye Law Courts - Refurbishment,4061606.0,unspecified,government of kenya,2014-07-01,2014-07-01,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055692,Sirisia Law Courts - Refurbishments,8021408.0,unspecified,government of kenya,2015-07-01,2015-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
2012/053560,Construction Of Samia Distirct Cultural Centre,4743133.0,unspecified,government of kenya,2011-06-17,2011-06-17,3.0,unspecified,"social protection, culture and recreation",1251 - office of the attorney general and department of justice,Ongoing
2012/053920,Rehabilitation Works And Fencing In Malaba Station,3600000.0,unspecified,government of kenya,2010-07-01,2010-08-05,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2014/054682,Sirisia Water Project,100000000.0,grant; unspecified,011 - government of italy,2014-02-25,2014-02-25,40.0,unspecified,"environmental protection, water and natural resources",1102 - state department for water and regional authorities.,Planned
2014/055012,PROPOSED CONSTRUCTION OF OFFICE BLOCK IN BUSIA COUNTY,12000000.0,unspecified,government of kenya,2014-09-30,2014-09-30,9.0,unspecified,"governance, justice, law and order (gjlos)",unknown,Planned
2014/055060,BUSIA PRISON CONSTRUCTION OF PRISONERS WARDS,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2015/055555,Butula Sub County Headquarters,15600000.0,unspecified,government of kenya,2015-01-08,2015-01-08,17.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055562,Teso South Sub County Headquarters,51392880.0,unspecified,government of kenya,2010-03-10,2010-03-10,74.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055656,Malaba Law Courts - Construction,107156219.0,unspecified,government of kenya,2015-07-01,2015-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
2015/055659,CONSTRUCTION OF PORT VICTORIA COURT,46529557.0,unspecified,government of kenya,2015-01-09,2015-02-12,12.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2012/053601,Construction Of Deo'S Office,1200000.0,unspecified,constituency development fund (cdf),2010-07-01,2010-07-01,6.0,unspecified,education,106 - ministry of education,Ongoing
2012/053944,Construction Of District Registrar'S Office In Ugunja,900000.0,unspecified,government of kenya,2012-07-01,2012-09-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2013/054335,Construction Of Office Block At Ugunya Probation,6232703.0,unspecified,government of kenya,2012-03-18,2012-04-01,9.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2014/054636,Lucy Onono Kinda Umala Youth Polytechnic,23200000.0,grant; unspecified,011 - government of italy,2014-02-01,2014-02-01,40.0,unspecified,education,106 - ministry of education; 1062 - state department for science and technology,Ongoing
2014/054947,Bondo Misori/Kipasi Owimbi Road(D246/E126/E139),2483543548.0,gok; unspecified,government of kenya,2010-06-25,2010-06-25,36.0,unspecified,"energy, infrastructure and ict",109 - ministry of transport and infrastructure; 135 - mor - kenya rural roads authority (kera),Ongoing
2014/055031,PROPOSED REFURBISHMENT OF ODPP OFFICES IN SIAYA COUNTY,2238869.0,unspecified,government of kenya,2014-09-01,2014-09-01,2.0,unspecified,"governance, justice, law and order (gjlos)",unknown,Planned
2014/055063,SIAYA PRISON CONSTRUCTION OF PRISONERS WARDS /KITCHEN,3000000.0,unspecified,government of kenya,2014-09-01,2014-09-01,8.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Pipelined
2014/055116,BONDO SUB COUNTY HEADQUARTERS,58600000.0,unspecified,government of kenya,2010-07-20,2010-08-03,58.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2015/055470,Lower Nzoia Irrigation Project Phase 2,1000000000.0,grant; unspecified,014 - government of germany (kfw-germany),2015-07-01,2015-07-01,35.0,unspecified,"agriculture, rural and urban development (arud)",1161 - state department for agriculture; 1102 - state department for water and regional authorities.,Pipelined
2015/055610,Bondo Law Courts - Refurbishment,1951900.0,unspecified,government of kenya,2014-07-01,2014-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055647,Siaya Law Courts - Refurbishment,32715079.0,unspecified,government of kenya,2014-07-01,2014-07-01,47.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Ongoing
2015/055660,CONSTRUCTION OF MAGISTRATES COURT BONDO,9184819.0,unspecified,government of kenya,2015-07-06,2015-07-06,35.0,unspecified,"governance, justice, law and order (gjlos)",1261 - the judiciary,Planned
